short_question,short_answer
do i have a yeast infection,hi this can be a vaginal fungal infection which is quiet common even in women who are not sexually active this may occur due to poor vaginal hygiene insert vaginal antifungal pessaries for 3 days inside your vagina and take anti histaminic tablets orally maintain good vaginal hygiene thanks
i need to buy health insurance asap what do i do where do i go,go to healthcare gov call my husband 407 222 9396 michael
i had an acute ebv antibody test done and my results were all negative,hi yes a chronic ebv infection also can be ruled out by this test if the results are negative you need not worry a pcr test will be more sensitive thanks
i am 19 and have chest pain tightness and a high heart rate,it seems more of anxiety exercises yoga meditation and de stressing exercises will be more helpful instead of going for medicines
hockey player has ankle problems tenderness bruising and a good bit of swelling,synovitis and cartilage damage seems to have occured rare diseases like osteochondritis should also be considered xray and a ct scan will help to see for any bony lesions synovial aspiration and chemical examination will help to look for any signs of synovitis
is dust a cause of a staph infection is dust in an or setting a cause of patients getting a staph infexction not necessarily mrsa,dust can be contaminated with staph bacteria on surfaces especially in a hospital setting it is not very likely that dust will be found in an operating room surface disinfection is very important of course to prevent the spread of any pathogen
my period came on the 19th nov it lasted for 5 days i had unprotected sex today 25th nov will i get pregnant,probably not you are unlikely to ovulate the day after your period ended with that said if you do not want to get pregnant it would be wise not to ever have unprotected sex it is not worth the worry remember that the body is designed to achieve pregnancy sperm can remain viable in your genital tract for days just waiting for an egg ovum to appear
what is the most healthy way to adjust for jet lag have been feeling headache after coming back from a china trip,i think you will find this information helpful <link>
how does a woman 30 wfacial hair that only gets her period 2x a year start to become fertil enough to get pregnant  what steps must be taken to become fertile if you have more male hormones than female hormones,hi well your on the right track with hormones see your doctor and get a blood test done for your hormones your doctor should be able to adjust your hormone to what they should be after your test and with luck he should get them right for you hope this helps you good luck
is it dangerous to take tylenol pm on a regular basis to assist with sleep,the general rule of thumb is that you should not take products like tylenol pm for more than 14 days if you have been taking this for more than that i would advise making an appointment with your doctor or health care provider for further evaluation with continued use you may experience rebound insomnia  which means you get a version of insomnia that can be much worse or you could even develop a tolerance to tylenol pm which means no matter how much you take it will not work another important issue is that you may be experiencing side effects like dry mouth dizziness and constipation which could lead you to using additional medications to treat those side effects    which would not be necessary if you were not taking the tylenol pm
i use xonepex in my nebulizer for my emphysema could i use a watered down solution of vicks vapor steam in my nebulizer what would be the side effects in doing this it would be a mild solution and not a replacement for my xonepex i also use a cpap to sleep with at night could i put a drop of vicks vapor steam in my water tank to breath in instead of just plain water,no that would not be recommended
